f800b503,larissa alves da silva,2024-07,fix: passing the selected event object to catalog microfront
50b4f4c2,mathmartins-sb,2024-05,feat: Add new key/values for errors from back
61954f71,larissa alves da silva,2024-07,feat: add catalog FF
81f02245,larissa alves da silva,2024-07,fix: some adjustment
68e8ae51,larissa alves da silva,2024-07,feat: some adjustment
ca62d1bb,larissa alves da silva,2024-07,feat: add catalog btn and modal
bf9a36f9,mathmartins-sb,2024-07,refactor: Update API URLs for pre environment
4f242eed,mathmartins-sb,2024-07,refactor: Add isTypeExtraJudicialWithPostEvent flag to OfferSummary component
6dd0b59d,Andre Pasqualotto,2024-07,removing log and unused import
dec72b06,Andre Pasqualotto,2024-07,fixing conflict error
8d139ced,Andre Pasqualotto,2024-07,Adding otherHeaders and properties to interests and winners, latam translations and general refactor of some loading and error states
bdeed247,Andre Pasqualotto,2024-07,rebasing conflicts
3a20e050,Andre Pasqualotto,2024-06,changing placeholders and minor fixes
4a6ea037,Andre Pasqualotto,2024-06,fixing participants query results with no users
53f40e84,Andre Pasqualotto,2024-06,adding translations to spanish
36b2eaa9,Andre Pasqualotto,2024-06,adjusting some loading states and components
75031805,Andre Pasqualotto,2024-06,adding button to action menu to download buying-terms and fixing loading states across components
f7cae9b0,mathmartins-sb,2024-06,feat: Update OfferSummary component to use isAfterMarket flag
965f5c43,mathmartins-sb,2024-06,feat: Add isAfterMarket flag to OfferSummary and Stages components
2ca22073,Carlos Henrique,2024-06,Bugfix: Fix winner row on modal of bids
b12e534a,mathmartins-sb,2024-06,refactor: update useGenerateOffers hook to accept additional filters
05a68a85,Carlos Henrique,2024-06,Removing uncessesary comments
1a1d02dd,Carlos Henrique,2024-06,Bugfix: adjusted negotiation history date on drawer
925a82f7,Carlos Henrique,2024-06,Bugfix: fix bid modal empty
90dfe285,Philipe Schneider,2024-06,Merge branch 'stg' into equalizeBranchDevWithStg
459e611c,Philipe Schneider,2024-06,Merge branch 'master' into equalizeBranchMaster
8c24af97,Carlos Henrique,2024-06,feat: migrate negotiation tab to new microfront
4a66303e,Carlos Henrique,2024-06,Hotfix: added parameter to bid history request
d4ddbd7a,Andre Pasqualotto,2024-06,adding methods to check for endDate in event tabs
752b4748,Andre Pasqualotto,2024-06,fixing overflow and height when too much data in component
a83bd86c,Andre Pasqualotto,2024-06,fix not showing hours in event summary
9bd9e9d5,Martín Agüera,2024-06,fix: change see_details to view_details in proponentCard key of translations
245422d8,Ailson Ramos Moreira,2024-06,Merge branch 'arm-tst-1991' of codecommit://sb-event-platform into arm-tst-1991
74244278,Ailson Ramos Moreira,2024-06,change get note label to enum
09884a44,Ailson Ramos Moreira,2024-06,Merge branch 'arm-tst-1991' of codecommit://sb-event-platform into arm-tst-1991
b9f29d30,Ailson Ramos Moreira,2024-06,new label view note
3e55811b,Ailson Ramos Moreira,2024-06,new label view note
086e1e1d,Martín Agüera,2024-06,feat: add translations to menuActions of ProponentCard component
5b24bd8e,Martín Agüera,2024-06,feat: add translation to español en refusedProponentCard key
aba75a96,Carlos Henrique,2024-05,bugfix/PO-1833: adjusment on formated dates
d4433e5e,Andre Pasqualotto,2024-05,adding permission to edit/delete events buttons
3536e01a,Andre Pasqualotto,2024-05,adding event closed validation, removing inline styles and minor adjustments
771faa7e,Carlos Henrique,2024-05,Bugfix: Added error event not finished
40a21400,Andre Pasqualotto,2024-05,adding translations to interests modal
23ca578a,Carlos Henrique,2024-05,Hotfix: added element to login tag to not translate
fd47e99d,Carlos Henrique,2024-04,Bugfix(PO-1762): fix bug when negotiation offers
f6420469,Odailson Silva,2024-04,Merge branch 'develop' into MACC-1607
142f5d9c,Odailson Silva,2024-04,MACC-1607: feat: tabEnable to offers
a65acaea,Philipe Schneider,2024-04,REEN-14 - Add new key/values for errors from back
206f5ba5,Philipe Schneider,2024-04,REEN-14 - Add new key/values for errors from back
4ca2291f,Philipe Schneider,2024-04,EDG-1646 - Add error message when seller doesnt have cost center
b548ccc0,Odailson Silva,2024-04,Merge branch 'develop' into MACC-1607
72d8166e,Odailson Silva,2024-04,MACC-1607: chore: remove features event-license
9b35415a,Carlos Henrique,2024-04,Feat/PO-1784: added button to refresh negotiation offers
03a00017,Odailson Silva,2024-04,MACC-1607: chore: remove features event-license
2fee8a81,Andre Pasqualotto,2024-04,adding event closed rule to upload winners
f4cddf05,Andre Pasqualotto,2024-04,translations files
9c1d9ad5,Andre Pasqualotto,2024-04,Fixing plurals in component
e76fc65c,Andre Pasqualotto,2024-04,Fixing csv example model on winners tab
ea5c34b3,Abigail Palmero,2024-04,fix: LATAM-969
89e1c4aa,Andre Pasqualotto,2024-04,removing logs
68cabb0d,Andre Pasqualotto,2024-04,removing logs
20402acc,Andre Pasqualotto,2024-04,removing testing variables
da21c0eb,Andre Pasqualotto,2024-04,changing method to post
1f70c8b9,Andre Pasqualotto,2024-04,changing disqualify method to generic + renaming
fbe2f7aa,Andre Pasqualotto,2024-04,Adding action menu for winner, disqualify/confirm actions
8efca284,Andre Pasqualotto,2024-04,adding offer Statuses on conditional
fb468633,Andre Pasqualotto,2024-04,overwriting styles of menu components
2fb92509,Andre Pasqualotto,2024-04,adding count to i18n keys to account for plurals/singular
7da13470,Andre Pasqualotto,2024-04,adding status to enum winner raffle
477f8bd8,Andre Pasqualotto,2024-04,adding translations
f01e324d,Andre Pasqualotto,2024-04,adding checkmark icon to jsxIcons
c5006943,Gislene Carvalho,2024-04,Fix rule to disable button
12d972ee,Gislene Carvalho,2024-04,Disable button when totalBids > 0
680d3a97,Abigail Palmero,2024-04,feature: LATAM-932 & LATAM-969 added portalId to email endpoints
8444c7e0,Odailson Silva,2024-04,chore: remove toogleFeature accounts
ba6c63c1,Carlos Henrique,2024-04,feat/PO-1754: added new microfront route and featureToggle
479c34ea,Andre Pasqualotto,2024-04,Winners tab componentes, list and button
841f6dd0,Andre Pasqualotto,2024-04,Winners tab integration and app flow/modals
1871ce9b,Andre Pasqualotto,2024-04,adding api calls to service
5ef6f17e,Andre Pasqualotto,2024-04,cursor pointer on styles of image/button
065d61b3,Andre Pasqualotto,2024-04,adding position to table cell style
e4174fc6,Andre Pasqualotto,2024-04,adding prop to button styles
a9f3430c,Andre Pasqualotto,2024-04,adding translations winners tab
92546ede,Andre Pasqualotto,2024-04,renaming enum
43275dd4,Andre Pasqualotto,2024-04,Adding enum and translations
eab14fb2,Philipe Schneider,2024-04,EDG-1533 - Add eventLink on event summary when status is 1 or 13
332f9f34,Andre Pasqualotto,2024-04,adding function to component
96954a4a,mathmartins-sb,2024-03,Refactor useGetEconomicGroup to use sellerId as a parameter
95436455,mathmartins-sb,2024-03,Add useGetEconomicGroup hook and update Offers page
c1d4f33b,Andre Pasqualotto,2024-03,removing unused variable + adding proptypes to component
f43ba337,Andre Pasqualotto,2024-03,Adding snackbar to raffle context
73a442dd,Andre Pasqualotto,2024-03,adding label to component and its translations
a9e61a0e,Andre Pasqualotto,2024-03,adding eventCancelled status to components, delete method to event and translations keys
e7f6534f,Andre Pasqualotto,2024-03,adding cancelled status to enum and translations
95fd8cc0,Andre Pasqualotto,2024-03,Adding offerContext to raffle component
80984be4,rosarioconde,2024-03,add i18n on negotiation
7d0ede93,Carlos Henrique,2024-03,Hotfix: adjustment on translate
a2c0fb5e,Andre Pasqualotto,2024-03,including props in offerTab/formatting
e9416802,Andre Pasqualotto,2024-03,removing logs
2b6419a4,Andre Pasqualotto,2024-03,fixing colums/data
372f74c0,Andre Pasqualotto,2024-03,adding download interests to raffle service and tab
7bcb76bd,Andre Pasqualotto,2024-03,adding list component to interest tab + pagination methods
ef779945,Andre Pasqualotto,2024-03,fixing csv separator
70b44236,Andre Pasqualotto,2024-03,adding pagination data to API call
80360877,Andre Pasqualotto,2024-03,adding translations and fixing typo
45121112,Andre Pasqualotto,2024-03,adding valid cpfs + header fix to csv-Examples
5923e71b,Andre Pasqualotto,2024-03,removing redundant imports
0deaad6d,Andre Pasqualotto,2024-03,removing unused/redundant imports
62f791d4,Andre Pasqualotto,2024-03,Interest List Component
86c8920d,Andre Pasqualotto,2024-03,adding component and tabs
e213dd16,Andre Pasqualotto,2024-03,add i18n keys for interest list
8565ce50,Carlos Henrique,2024-03,Merge branch 'develop' of codecommit://sb-event-platform into bugfix/PO-1729
a5f7c18a,Odailson Silva,2024-03,Merge branch 'develop' into macc-1390/1391
7e01c717,rosarioconde,2024-03,add constant for the default value
acf4fdc0,rosarioconde,2024-03,refactor convertDateTimeZone
ad49f262,Maico Rodrigo Caumo,2024-03,Merge remote-tracking branch 'origin/master' into stg
d9e7cce9,Odailson Silva,2024-03,feat: rightOfPreferenceStatus and civilState
563daf1b,Carlos Henrique,2024-03,Bugfix(PO-1729): hidden negotiation button to persona seller
a6a9f47d,rosarioconde,2024-03,feat: display the negotiation date using convertDateTimeZone
21fa3825,Gislene Carvalho,2024-03,Fixing remove call getOfferPublicationList
b59eeb9b,Gislene Carvalho,2024-03,Minor adjusts on offer context
a448361a,Odailson Silva,2024-03,MACC-1426: feat - toogle feature
465a49a0,Odailson Silva,2024-03,Merge branch 'develop' into macc-1390/1391
7b046178,Odailson Silva,2024-03,MACC-1426: conection parcel sb-event-license-platform
53d5f8cc,Gislene Carvalho,2024-03,Adjusts render group offer errors
c94b9a6b,Gislene Carvalho,2024-03,Merge branch 'develop' of codecommit://sb-event-platform into feature/EDG-1423-add-new-i18n-labels
a4dcef8e,Andre Pasqualotto,2024-03,removing unused method
007969c5,Andre Pasqualotto,2024-03,adding type of document to csv examples, removing status
76620bde,Andre Pasqualotto,2024-03,removing inline css styles rebased
d340e5e8,Andre Pasqualotto,2024-03,adding event status ids to component and  constants rebased
e4c096d9,Andre Pasqualotto,2024-03,changing csv examples of winners
57d77dc1,Andre Pasqualotto,2024-03,removing unused key
f787b118,Andre Pasqualotto,2024-03,changing method names, removing duplicate method already in sb-utils
8b941779,Andre Pasqualotto,2024-03,removing unecessary ternary
80e29ecd,Andre Pasqualotto,2024-03,removing logs/adding comment to i18n file
06ee41d7,Andre Pasqualotto,2024-03,adding constantes to filetypes
4934ad27,Andre Pasqualotto,2024-03,adding file utils method to participants tab
55f85548,Andre Pasqualotto,2024-03,prop types in component companysummary
7bf2cf90,Andre Pasqualotto,2024-03,changing proptypes requirements/format
50b0e07b,Andre Pasqualotto,2024-03,adding csv enum file with data
7c45a331,Andre Pasqualotto,2024-03,adding proptypes and linter changes to componentes + csvModel in csv generator
b5da5d5f,Andre Pasqualotto,2024-03,adding proptypes and minor changes from linter
77c2c3d4,Andre Pasqualotto,2024-03,removing inline css/fixing button limits
57f1e709,Andre Pasqualotto,2024-03,removing logs
fa113765,Andre Pasqualotto,2024-03,removing logs
5595c141,Andre Pasqualotto,2024-03,changing variable name to something more clear
55bf9034,Andre Pasqualotto,2024-03,removing inline style
4023bfd0,Andre Pasqualotto,2024-03,refactoring magic expressions into methods
4cc1c461,Andre Pasqualotto,2024-03,Adding maxSize prop to upload component
f82523f4,Andre Pasqualotto,2024-03,removing inline styles from components
d56ff3dc,Andre Pasqualotto,2024-03,removing inline styles from modal title component
